nbrhd,One_Person_Households,Adults_Non_English_Speaking,Births_to_Teen_Mothers_19_and_under,Births_to_Unwed_Mothers,Births_to_Women_With_Less_Than_12th_Grade_Education,Children_Living_with_Single_Parents,Families_with_Children,Families_without_Children,Foreign_Born,Households,Households_with_Income_more_than_USD_125000,Households_with_Income_less_than_USD_60000,Households_with_Income_USD_60000_to_USD_124999,Housing_Units,Housing_Vacancy,Multi_Family_Units,Overcrowded_housing_units,Persons_Age_25_with_College_Degree_Associates_or_Better,Persons_age_25_with_high_school_only_education,Persons_age_25_with_less_than_12th_grade_education,Persons_age_25_with_some_college_but_no_degree,Persons_in_Poverty,Persons_per_Household,Population_18_24,Population_25_34,Population_35_44,Population_45_54,Population_5_17,Population_55_64,Population_African_American,Population_Asian_per_Pacific_Islander,Population_Latino,Population_Native_American,Population_Non_Latino,Population_Non_Latino_White,Population_Other_Race_Single_Race_Selected,Population_White,Population_of_2_or_More_Races,Population_over_65,Population_under_5,Renters_Spending_More_Than_30Percent_of_Income_on_Housing,Single_Family_Units,Single_Mothers_with_Children_in_Poverty,Total_Population,Unemployed_in_Civilian_Labor_Force,Births_African_American,Births_Asian_per_Pacific_Islander,Births_Latino,Births_Native_American,Births_Non_Latino_White,Births_Other_Race,Crime Incidents
genesee-park,1039,35,0,5,0,385,1300,2140,523,4608,2172,1102,1334,4934,326,340,0,6318,720,115,1119,452,2.39,387,630,1253,1911,1996,2133,17,222,245,8,10767,10310,26,10524,215,2345,357,133,4572,30,11012,183,0,3,5,0,51,0,
glendale-area,1364,402,3,17,9,160,276,475,1225,2727,72,1924,731,2909,182,2769,49,1788,528,392,742,1091,1.8,1088,1994,633,416,158,280,321,345,1199,41,3706,2889,539,3524,135,127,209,1266,124,15,4905,222,0,4,20,0,30,0,
globeville,290,510,6,17,10,523,489,219,894,1109,30,818,261,1179,70,237,146,426,879,730,311,1385,3.27,810,980,408,390,763,347,215,15,2473,10,1697,1375,458,3282,190,221,251,375,942,109,4170,187,10,0,36,0,7,0,7627
glover-plum-creek-fairway-and-crystal-valley-ranch,906,138,0,19,13,552,1253,1338,483,3694,752,1508,1434,3975,281,1255,133,3184,1110,369,1611,1026,2.56,932,1278,1057,1556,1714,1021,106,38,978,98,8626,8104,109,8884,369,1362,684,597,2720,71,9604,218,0,3,25,0,88,0,
golden-gate-canyon-and-coal-creek-canyon,648,0,0,4,0,193,644,910,304,2463,784,895,784,2733,270,459,0,2745,499,85,747,420,2.27,500,782,714,1065,773,824,17,123,357,16,5227,4932,15,5155,258,691,235,341,2206,0,5584,133,0,3,10,0,36,0,
goldsmith,1191,279,6,21,3,478,610,482,824,2643,204,2077,362,2835,192,2138,15,1381,1346,317,847,709,1.96,668,1344,661,505,501,636,728,64,1493,112,3985,2832,914,3364,296,745,418,1232,697,23,5478,282,17,0,25,0,29,4,4259
green-valley-ranch,1774,2413,32,142,73,3781,6001,2406,9557,10859,1452,4831,4576,11129,270,1739,385,6411,5418,4177,5907,2654,3.32,2685,6593,6535,4514,8591,2596,10336,2292,14244,298,21796,8237,2424,18735,1955,1675,2851,1965,9376,259,36040,1055,149,53,271,6,137,21,10472
gunbarrel-area,1581,23,0,6,0,452,1209,1647,643,5045,1492,1813,1740,5233,188,1885,0,6697,619,129,1059,717,2.21,697,1917,1540,1803,1523,1647,87,212,711,18,10431,9913,195,10421,209,1597,418,736,3348,55,11142,381,0,5,5,0,70,0,
hackberry-hill,442,53,4,17,5,524,720,948,310,2236,267,1079,890,2236,0,127,29,1677,1196,381,897,616,2.64,517,788,790,811,966,938,32,161,778,185,5125,4730,158,5263,104,824,269,269,2109,75,5903,385,5,0,16,0,58,0,
hale,2095,37,0,15,0,308,649,802,582,4057,680,2203,1174,4389,332,2225,53,3791,535,170,1199,760,1.7,343,1828,1358,887,514,764,356,324,744,29,6215,5337,65,5976,209,858,407,901,2164,39,6959,184,7,4,16,0,93,0,3764
hampden,4371,663,8,52,23,1453,1975,2331,2708,9536,1268,5668,2600,10125,589,6473,140,7640,2640,744,2883,2168,1.97,1733,3291,2565,2201,2180,2464,2906,913,2467,180,16321,12055,759,13456,574,3386,968,2782,3642,278,18788,607,52,14,68,0,114,9,7990
hampden-south,2903,338,3,23,8,622,1498,2314,1541,7363,1722,3362,2279,7923,560,3850,18,7207,1733,479,2696,699,2.08,778,3452,1978,2139,1641,1911,1472,771,1784,20,13547,10836,730,11958,380,2635,797,1285,4062,9,15331,378,22,6,29,0,115,4,8734
harriman-lake-weaver-hollow-park-and-blue-heron-park,1416,325,0,23,0,871,3257,3684,1805,8838,2303,2286,4249,8928,90,589,60,8284,3537,803,4370,911,2.83,1922,3526,3523,4180,4768,3099,340,823,3561,255,21490,19643,392,22538,703,2666,1367,349,8297,9,25051,682,3,13,39,0,212,3,
harvey-park,972,1231,14,38,30,1679,1743,1136,2788,4232,200,2347,1685,4348,116,838,379,2349,2248,2052,1343,2625,3.01,974,2392,1738,1370,2510,1254,230,739,7614,291,5146,3940,1533,9638,329,1238,1284,741,3510,315,12760,345,0,9,118,0,70,9,5919
harvey-park-south,965,366,8,32,21,824,1061,1036,1142,3226,379,1903,944,3318,92,963,88,1874,1540,1118,1290,1328,2.63,830,1351,947,1271,1506,979,254,515,4308,28,4562,3826,672,7300,101,1274,712,639,2306,141,8870,295,4,4,61,0,47,5,4218
hayden-green-mountain-park,4699,226,8,68,11,2288,4114,5655,2548,15818,3436,6736,5646,16257,439,5565,224,15058,4453,1070,5535,2999,2.34,3741,5128,4544,5579,5336,5355,372,1316,4250,190,32909,30129,628,33413,1240,5510,1966,2405,10647,198,37159,1165,8,18,66,0,341,0,
heritage-eagle-bend,1964,345,5,48,7,2073,5902,4367,3358,12731,4518,3267,4946,13192,461,2492,175,14466,3492,573,5146,1412,2.97,2843,4000,6501,6023,8692,3370,2098,2713,3756,168,34093,28099,1124,30343,1403,3783,2637,1427,10690,90,37849,723,38,36,51,0,334,8,
heritage-hills-and-stonegate,3654,364,9,55,13,2243,7126,5221,4427,17785,5729,4544,7512,18571,786,5357,243,19222,3893,603,6173,2002,2.61,4131,7986,7877,6561,9169,4531,851,2974,4320,127,42128,36610,956,39796,1744,2936,3257,1869,13136,94,46448,1054,8,31,87,0,487,17,
highland,2307,364,3,26,9,444,679,860,1017,4624,1293,1887,1444,5129,505,2648,118,4846,742,770,625,1190,1.85,535,2719,1830,1005,759,530,164,160,2116,116,6539,6117,249,7785,181,899,378,1306,2481,97,8655,230,4,4,37,0,99,0,9273
highlands,42,0,0,0,0,75,614,433,170,1115,642,148,325,1200,85,12,0,1673,253,8,191,141,3.22,247,68,611,673,992,491,40,50,237,0,3352,3135,0,3372,127,282,225,25,1188,0,3589,60,0,0,0,0,21,0,
highlands-prkway-wood-creek-and-hackbrhl,571,81,3,28,9,1005,839,888,248,2528,279,1313,936,2642,114,643,66,1753,1344,250,1060,531,2.59,486,1068,706,1008,1154,846,111,165,1954,120,4604,4198,276,5734,152,779,511,366,1999,107,6558,272,0,0,21,0,61,0,
highlands-ranch-east,3574,538,0,34,3,3082,9506,6371,6106,20222,8549,4367,7306,20839,617,3522,207,25790,3605,470,5914,2221,2.79,3341,6020,9846,9233,13343,5788,615,4875,4589,129,51819,45023,1002,48181,1606,4892,3945,1558,17241,220,56408,1074,8,42,59,0,394,13,
highlands-ranch-southeast,457,14,0,3,0,319,1472,1210,673,3185,1886,501,798,3340,155,356,10,4544,486,25,798,233,2.86,499,488,1383,1627,2273,1216,36,458,370,6,8760,8074,16,8379,235,1139,505,117,2984,0,9130,121,0,6,0,0,47,0,
highlands-ranch-west,3004,246,4,31,4,1568,7110,5724,3194,16382,6620,3663,6099,16725,343,2456,120,19664,3211,634,5677,1246,2.72,2844,4340,7030,7986,10075,5278,281,1853,3612,97,40868,37695,357,40836,1056,4552,2375,1299,14225,73,44480,824,7,18,47,0,348,9,
hilltop,1090,88,0,13,0,348,1227,1279,668,3835,1942,942,951,3973,138,683,0,5408,375,157,643,506,2.39,492,809,1303,1267,1359,1456,335,168,349,44,8962,8186,58,8495,211,1748,877,388,3270,43,9311,259,8,4,13,0,78,0,3055
hine-lake-powderhorn-park-and-westbury-park,1898,156,3,34,3,1398,3291,3747,1498,9377,2313,2992,4072,9814,437,1424,121,9181,3350,511,4118,1057,2.65,1992,3435,3604,3705,4219,3992,402,1049,2388,234,22492,20562,455,22119,621,2424,1509,827,8363,68,24880,770,0,13,40,0,209,4,
holly-hills-area,194,27,0,0,0,132,304,433,105,1056,412,274,370,1072,16,7,17,1418,135,83,358,160,2.44,155,222,399,360,311,434,74,45,223,5,2461,2277,83,2379,98,579,224,29,1065,0,2684,90,0,0,0,0,40,0,
homestead-park-and-columbine,1828,536,10,37,11,764,1147,1040,1095,4404,252,2815,1337,4539,135,1725,165,2283,2186,999,1469,1507,2.26,1041,1556,1327,1316,1456,1448,163,123,3193,122,6817,6398,680,8523,399,1290,576,1049,2366,100,10010,278,0,0,61,3,59,4,
hutchinson-park,430,128,0,0,0,428,754,1010,396,2322,693,650,979,2383,61,264,0,2955,761,44,719,257,2.68,379,584,756,1221,1031,882,17,449,548,0,5665,5108,94,5535,118,1036,324,89,2119,0,6213,216,0,0,3,0,42,0,
indian-creek,954,83,0,5,3,273,327,498,474,1950,323,989,638,2046,96,959,6,1721,450,169,564,263,1.87,269,607,693,392,215,623,287,93,580,0,3066,2552,170,2849,247,589,258,230,1087,5,3646,55,12,0,8,0,12,0,598
jefferson-park,720,511,0,13,7,145,273,265,773,1574,221,1033,320,1673,99,1152,135,1096,308,716,238,836,1.89,188,1310,496,276,276,157,130,66,1418,19,1555,1304,388,2319,51,119,151,566,514,47,2973,121,0,0,22,0,22,3,4615
kamemoto-park,324,220,3,13,10,445,626,658,726,1761,250,858,653,1856,95,437,32,1331,854,414,773,581,2.89,407,823,667,740,918,588,101,107,1862,38,3250,2963,289,4470,107,554,415,188,1273,39,5112,158,0,0,28,0,28,0,
ken-caryl-ranch,1159,64,0,14,0,720,2566,3420,978,7367,3587,1711,2069,7489,122,838,43,9879,1625,196,2253,881,2.71,1275,1131,2332,3523,3915,4286,100,271,1368,67,18581,17939,66,18995,450,2681,806,314,6651,80,19949,505,3,7,13,0,113,0,
kennedy,1033,394,4,25,17,475,698,354,1769,2394,60,1915,419,2639,245,2578,201,1532,364,462,723,724,1.99,683,1648,857,435,494,82,700,721,1687,0,3084,1472,756,2321,273,59,513,1424,61,49,4771,289,27,6,29,0,22,4,2096
kings-ridge-noble-park-and-east-boulder,2048,287,4,12,12,273,571,731,1525,3906,498,2298,1110,4027,121,2678,100,3324,527,574,873,1141,1.82,957,1755,1180,811,788,667,38,398,1444,46,5687,5077,230,6252,167,885,88,1154,752,47,7131,203,0,6,24,0,38,0,
lac-amora-park-and-zangs-spur-park,1400,137,0,25,4,511,1049,1345,795,4228,608,1914,1706,4567,339,2167,108,3697,1058,298,1604,1023,2.28,1058,2122,1257,1136,1341,1248,70,543,1315,31,8344,7555,315,8439,261,894,603,981,2361,32,9659,475,3,8,23,0,97,3,
lake-arbor,830,18,3,16,3,444,716,759,319,2478,388,1232,858,2478,0,729,0,1933,797,228,1028,470,2.43,578,755,765,775,1085,804,97,64,1299,28,4724,4484,322,5400,112,887,374,464,1724,63,6023,256,0,3,11,0,41,0,
lakota-hills-golden-proper,1350,175,3,17,3,761,1173,1191,1191,4650,1065,2577,1008,4803,153,1891,69,4554,1378,613,1502,2454,2.41,3729,2328,1599,1554,1618,1325,316,515,1375,88,12648,11321,99,12541,464,1241,629,1154,2232,131,14023,374,0,9,11,0,85,0,
laredo-highline,593,514,11,42,38,849,1038,585,1621,2359,131,1785,443,2405,46,915,170,942,1428,905,831,1821,2.8,672,757,872,762,1191,835,1346,358,2938,84,3684,1942,1074,3717,43,880,653,774,1398,271,6622,293,40,4,64,0,19,9,
larmar-heights,411,115,0,12,4,181,510,662,292,1725,180,892,653,1851,126,413,15,1058,893,128,874,381,2.43,463,634,660,677,585,374,25,270,908,7,3331,3030,47,3884,6,608,238,229,1438,20,4239,152,0,0,14,0,39,0,
lemon-gulch,797,56,0,12,0,666,3282,2352,904,6769,3164,1415,2190,6925,156,411,17,8215,1489,253,2811,687,2.98,917,1620,3603,3349,4816,2506,136,422,1794,28,18483,17227,244,18594,853,1690,1776,281,6458,100,20277,286,0,9,16,0,188,3,
leyden,143,0,0,6,0,15,375,688,98,1212,719,147,346,1288,76,0,0,1540,397,64,418,48,2.67,118,237,558,552,422,577,14,43,179,0,3064,2926,25,3082,79,495,284,0,1288,0,3243,49,0,0,6,0,64,0,
lincoln-park,1104,531,0,19,7,608,477,497,1035,2647,149,1773,725,2896,249,1837,141,1646,702,1032,771,2112,2.18,740,1485,846,601,883,603,586,165,2544,209,3485,2664,719,4257,93,616,255,883,1037,100,6029,407,16,0,30,0,25,0,13740
littleton-north,781,84,9,32,8,600,816,904,246,2726,289,1529,908,2805,79,596,29,1604,1656,296,1432,918,2.6,562,1257,1097,849,1034,951,238,196,1585,13,5501,4770,175,5929,535,834,502,502,2197,130,7086,244,4,3,36,0,74,4,
long-lake-ranch-park-and-north-table-mountain,974,62,0,7,0,318,1347,1658,436,4313,1836,1193,1284,4393,80,416,95,5319,1235,241,1183,572,2.57,592,1046,1944,1848,1909,1558,0,95,601,47,10499,10221,12,10771,175,1582,621,335,3977,0,11100,147,0,3,10,0,90,0,
longs-peak,97,0,0,0,0,70,133,367,28,626,144,255,227,662,36,0,0,641,290,54,172,185,2.44,99,131,120,220,273,330,9,0,140,0,1435,1389,56,1473,37,356,46,41,662,29,1575,32,0,0,0,0,7,0,
louisville-and-southeast-boulder-valley,2421,298,0,20,7,1330,3537,3384,2122,10075,3757,3100,3218,10408,333,1220,96,13411,1498,417,2263,1407,2.5,1531,2191,3726,4294,4944,4137,68,1211,1520,17,23712,21883,171,23247,518,3241,1168,962,8997,120,25232,652,3,15,21,0,157,0,
lowry-field,1615,61,0,15,6,351,1044,922,937,3867,1304,1476,1087,4209,342,1974,13,4703,419,157,680,567,2.13,562,1431,1334,1170,1233,981,562,363,906,16,7346,6182,415,6656,240,1043,498,863,2206,31,8252,299,16,8,12,0,64,0,4086
lyons-and-rabbit-mountain,353,31,0,0,0,148,536,600,395,1607,558,521,528,1767,160,75,32,1923,398,66,553,320,2.57,295,432,622,606,677,741,65,81,117,20,4006,3728,0,3845,112,539,211,146,1653,32,4123,166,0,0,0,0,23,0,
mapleton-hill-newlands-and-juniper-kalmia,450,20,0,0,0,219,594,584,559,1968,792,627,549,2091,123,342,0,2731,129,89,308,396,2.36,366,657,576,774,787,756,0,147,175,0,4470,4254,71,4358,69,494,235,176,1749,0,4645,170,0,0,0,0,29,0,
mar-lee,795,1444,22,61,48,1868,1816,1373,4052,4200,274,2753,1173,4360,160,987,294,1526,2985,2751,1192,2472,3.3,1404,2546,1935,1499,2855,1148,240,473,9789,434,4232,3081,1533,10858,483,1326,1308,920,3317,233,14021,400,4,13,159,6,45,7,7203
marston,1968,176,0,23,7,678,1297,1586,768,5464,782,2732,1950,5724,260,2714,80,4603,1546,294,2424,695,2.11,631,1950,1817,1653,1372,1670,16,657,1928,37,9611,8373,116,10053,660,1777,669,1051,3010,10,11539,272,0,10,34,0,97,5,3720
martin-acres-majestic-heights-and-superior,1361,252,0,8,0,976,2733,1978,3229,7601,2549,2503,2549,7967,366,2576,220,10068,734,338,1347,2447,2.74,3867,3612,2979,2881,3413,1780,208,2736,1536,32,19329,15805,519,16669,701,1235,1098,1824,5289,13,20865,667,0,11,8,0,119,0,
mcintosh-park,1432,54,0,23,8,441,1061,1562,437,4356,941,1816,1599,4538,182,1306,63,4091,1384,252,1608,696,2.3,851,1042,1096,1263,1474,1771,11,159,710,108,9365,9008,93,9555,149,2163,415,756,3213,61,10075,189,0,0,19,0,63,0,
meridian-international-business-center,413,95,0,3,0,38,321,315,272,1120,381,357,382,1271,151,537,14,1098,196,46,403,65,2.21,182,407,432,394,371,190,40,323,235,0,2241,1766,0,1962,151,320,180,249,726,0,2476,44,3,7,12,0,80,0,
meyer-ranch-park,221,0,0,0,0,67,353,538,92,1159,478,294,387,1274,115,0,8,1378,324,52,374,65,2.4,58,121,340,670,447,577,0,41,55,0,2721,2651,15,2691,29,420,143,20,1268,0,2776,78,0,0,0,0,20,0,
mission-viejo,465,79,0,13,6,524,920,949,570,2404,394,836,1174,2486,82,206,34,2421,997,216,1318,472,2.98,480,1158,1022,1012,1157,981,715,84,1158,42,6020,4962,390,5572,375,779,589,181,2270,35,7178,303,11,5,19,0,67,0,
mitchell-culch-park,247,0,6,19,4,372,1395,534,153,2204,506,549,1149,2204,0,14,46,2118,802,128,1105,155,3.17,595,909,1530,800,1578,551,12,131,590,0,6406,6162,58,6694,101,363,670,172,2190,0,6996,139,0,0,6,0,108,0,
montbello,1207,5071,71,178,137,4824,4998,2076,10126,8597,475,5212,2910,8885,288,1238,683,2718,5647,6616,3649,8475,4.06,3924,5172,4866,3418,9253,2829,8291,638,21416,45,13549,3954,2515,22418,1058,2345,3158,2014,7615,754,34965,1133,106,15,420,4,66,35,16954
montclair,1115,15,3,7,3,189,692,595,623,2811,876,829,1106,2919,108,387,13,3363,470,169,580,487,2.05,317,983,1208,938,706,775,274,124,594,15,5291,4748,213,5087,172,678,280,357,2532,13,5885,46,4,0,15,0,68,0,4321
montview-park,1921,4304,42,131,145,2783,2823,1249,7731,6827,186,5211,1430,7201,374,3892,1254,2331,3784,4765,1887,7122,3.18,2636,3833,3189,2779,4749,1589,3691,1456,11730,379,10337,4351,4765,10766,1010,1377,1915,2830,3233,525,22067,967,64,59,235,8,73,18,
mount-carbon-park-and-westgate,922,204,0,14,0,541,683,726,576,2447,323,1316,808,2681,234,1681,39,2154,1378,362,1248,427,2.15,617,1278,1071,938,859,888,345,311,1241,192,5722,4839,216,5725,174,967,345,637,1000,87,6963,119,0,3,14,0,39,0,
mount-falcon-canyon-park,236,5,0,0,0,226,278,598,118,1251,447,338,466,1297,46,58,29,1357,454,61,638,173,2.49,134,331,427,539,492,507,51,26,366,0,2884,2740,9,3097,67,706,114,78,1218,27,3250,96,0,0,0,0,22,0,
nederland-and-boulder-mountain-park,1271,14,0,6,0,561,1044,1855,453,4787,1653,1573,1561,5462,675,425,117,6183,654,113,1332,828,2.25,663,1253,1691,1862,1604,1844,0,201,386,15,10401,10002,18,10355,198,1632,238,725,4971,8,10787,218,0,0,10,3,58,0,
north-aurora,1466,2146,29,110,103,2268,2836,1798,5500,6528,460,4029,2039,6740,212,1166,643,2776,3923,3077,2933,4334,3.25,2255,3217,2939,2912,4769,1865,3379,995,9613,453,11751,6651,3091,12633,813,1776,1631,1014,4093,271,21364,723,62,28,227,0,72,31,
north-capitol-hill,2591,132,0,11,0,75,98,453,464,3990,625,2177,1188,4351,361,4247,14,3553,445,257,823,1133,1.41,642,2908,599,466,40,670,409,136,499,28,5335,4601,83,4955,223,435,74,1431,104,0,5834,222,8,3,0,0,24,0,9328
north-central-westminster,1159,121,3,19,0,700,2028,2650,1119,6141,2216,1489,2436,6423,282,1098,31,7043,1541,343,2603,356,2.59,719,1956,2400,2226,2642,2474,321,884,1581,167,14329,12650,150,14012,376,2474,1019,541,5325,29,15910,244,0,16,21,0,110,3,
north-park-hill,1119,233,7,27,3,574,1403,1136,800,4094,1184,1544,1366,4206,112,79,43,4383,1069,886,1344,1200,2.53,396,2035,1632,1467,1288,1051,3095,108,1130,98,9209,5424,728,5898,412,1497,973,359,4117,90,10339,230,32,3,21,0,106,0,3768
north-standleylake-open-space-park,115,3,0,3,0,85,307,243,128,685,208,100,377,685,0,0,0,733,216,30,282,80,2.79,142,215,343,292,389,285,7,25,191,5,1719,1623,38,1784,51,126,118,8,685,7,1910,33,0,3,4,0,19,0,
north-thornton,2501,767,11,88,15,2060,5567,4605,2976,13687,3951,4183,5553,14240,553,3346,286,12386,5617,2034,5646,1694,2.89,2873,5746,6565,5755,8328,3973,699,2657,6324,322,33195,29006,766,33890,1185,3644,2635,1746,10885,116,39519,841,10,26,129,5,330,4,
northeast-adams,565,53,0,15,8,443,1252,1236,418,3196,538,1389,1269,3421,225,91,115,2004,1985,412,1646,643,2.85,616,1030,1199,1383,1989,1444,24,44,1039,98,8083,7648,299,8461,196,991,470,183,3078,46,9122,282,0,0,15,0,72,3,
northeast-broomfield,1337,352,3,25,11,355,2715,2398,1664,6786,2466,1854,2466,6956,170,516,132,8136,1649,454,2302,780,2.71,832,2117,3271,2572,3898,2098,189,1109,2306,93,16105,14144,448,15574,998,2483,1140,309,6095,50,18411,307,3,10,31,0,151,3,
northeast-centennial,1881,1239,11,79,18,3255,9244,7148,7602,18889,7009,3835,8045,19313,424,1116,118,22824,6072,1296,8217,2272,3.17,4178,6165,9493,10425,13797,7694,4467,5945,5554,256,54470,42038,1115,45696,2545,4632,3640,1019,18172,106,60024,1466,51,67,98,4,434,21,
northeast-lakewood,6311,1290,20,121,64,2692,3452,4153,3685,15694,1525,10087,4082,16358,664,6922,512,9241,6473,3738,5884,5549,2.16,2745,6462,4751,4438,4666,4565,516,349,11030,383,23838,22009,1617,30824,1179,5120,2121,4557,9276,470,34868,1515,12,14,170,7,256,9,
northeast-littleton,2430,360,6,39,14,879,1472,1376,1425,5851,620,3497,1734,6155,304,3136,211,3872,1911,951,2519,1780,2.27,1538,2422,1620,1529,1816,1660,403,213,2829,179,10647,9581,283,11861,537,2022,869,1461,3001,103,13476,625,6,3,41,3,109,5,
northeast-park-hill,1062,584,8,44,18,1165,1001,766,1118,3165,258,2189,718,3302,137,1194,253,1715,1728,1203,1347,2571,2.69,737,1481,1536,936,1685,906,4045,159,2372,117,6835,1965,187,4078,621,1134,792,1155,2108,209,9207,460,52,0,45,0,39,0,8696
northeast-parker,1459,69,3,15,0,726,2167,2160,1030,6134,2016,1707,2411,6310,176,1712,69,6269,1467,253,2157,784,2.57,1701,1216,2222,2657,3355,2195,267,475,1177,0,14616,13548,110,14586,355,1856,591,738,4542,73,15793,209,0,0,9,0,151,4,
northwest-arvada,722,75,0,15,3,498,888,1299,228,3132,832,1283,1017,3175,43,516,0,2580,1153,338,1425,398,2.49,706,779,973,1173,1277,1178,64,23,1069,24,6729,6472,207,7260,220,1393,319,375,2659,38,7798,126,0,0,12,0,68,0,
northwest-lakewood,4421,175,23,82,25,1734,2857,4202,1594,12873,2303,6800,3770,13373,500,4583,164,9539,5004,1526,5126,3345,2.19,2240,3875,3532,3647,3452,4464,406,734,4596,316,23808,21952,400,25586,962,5677,1517,2895,8664,255,28404,1097,12,8,87,0,252,5,
northwest-sheridan,720,390,3,33,15,607,712,530,1014,2180,23,1575,582,2290,110,561,82,1006,1152,1013,683,1496,2.64,636,1181,739,595,922,630,58,71,2788,49,3033,2615,1136,4194,313,709,409,653,1351,120,5821,288,6,0,38,7,29,5,
oakhurst-park-sherwood-park,1623,266,5,36,5,779,2389,2859,1703,7466,2134,2169,3163,7642,176,1056,11,7464,2819,560,3239,1042,2.67,1316,2741,2732,3256,3557,2995,253,1552,2186,107,17837,15838,205,17471,435,2358,1068,561,6580,32,20023,695,0,11,36,0,171,0,
okane-park-washington-heights-park,3311,739,26,101,38,2185,2575,2751,3235,9580,922,5600,3058,9912,332,4460,383,5402,4535,1810,3673,3883,2.36,2975,4638,2841,2242,3503,2677,289,579,8971,199,14501,13237,643,21123,639,3022,1574,2429,5147,283,23472,573,8,11,163,4,141,4,
old-north-boulder,873,179,3,8,3,244,817,794,792,2972,866,1096,1010,3175,203,1103,52,4195,456,85,665,683,2.45,680,1652,1207,850,957,849,8,375,396,0,7062,6552,20,6858,197,843,420,554,1927,20,7458,374,0,0,9,0,53,0,
olympic-park,6833,2547,35,165,62,4577,7937,7763,9397,24021,3774,10997,9250,25018,997,8066,491,18995,10146,3152,11275,5528,2.62,5097,9738,8698,8004,10869,8462,7235,4551,11846,250,51563,37597,4413,43494,3466,8666,3875,3717,16854,422,63409,2123,117,55,186,0,408,40,
overland,670,31,3,8,0,293,222,335,286,1552,117,914,521,1694,142,847,34,1162,441,335,359,668,2.01,391,983,444,371,323,317,375,55,828,61,2333,1787,213,2319,138,182,150,412,837,63,3161,78,0,0,9,0,28,0,4712
parker-north-and-parker-heights,527,59,0,15,0,358,660,425,244,1799,225,965,609,1855,56,890,39,1341,624,108,619,501,2.42,628,775,644,526,803,353,37,46,443,8,3946,3813,22,4184,92,394,266,503,965,26,4389,122,0,0,9,0,39,3,
pike-national-forest,86,0,0,0,0,5,49,204,30,339,67,181,91,546,207,6,0,286,144,33,143,31,2.13,43,24,51,151,50,187,0,0,39,16,683,662,0,696,10,193,23,16,530,0,722,23,0,0,0,0,3,0,
pine-junction-area-and-kings-valley,273,9,0,0,0,50,279,840,182,1431,393,338,700,1549,118,8,0,1340,621,103,649,105,2.38,206,399,374,620,392,845,11,35,275,0,3134,3068,10,3322,31,475,98,32,1541,7,3409,120,0,0,3,0,22,0,
