nbrhd,One_Person_Households,Adults_Non_English_Speaking,Births_to_Teen_Mothers_19_and_under,Births_to_Unwed_Mothers,Births_to_Women_With_Less_Than_12th_Grade_Education,Children_Living_with_Single_Parents,Families_with_Children,Families_without_Children,Foreign_Born,Households,Households_with_Income_more_than_USD_125000,Households_with_Income_less_than_USD_60000,Households_with_Income_USD_60000_to_USD_124999,Housing_Units,Housing_Vacancy,Multi_Family_Units,Overcrowded_housing_units,Persons_Age_25_with_College_Degree_Associates_or_Better,Persons_age_25_with_high_school_only_education,Persons_age_25_with_less_than_12th_grade_education,Persons_age_25_with_some_college_but_no_degree,Persons_in_Poverty,Persons_per_Household,Population_18_24,Population_25_34,Population_35_44,Population_45_54,Population_5_17,Population_55_64,Population_African_American,Population_Asian_per_Pacific_Islander,Population_Latino,Population_Native_American,Population_Non_Latino,Population_Non_Latino_White,Population_Other_Race_Single_Race_Selected,Population_White,Population_of_2_or_More_Races,Population_over_65,Population_under_5,Renters_Spending_More_Than_30Percent_of_Income_on_Housing,Single_Family_Units,Single_Mothers_with_Children_in_Poverty,Total_Population,Unemployed_in_Civilian_Labor_Force,Births_African_American,Births_Asian_per_Pacific_Islander,Births_Latino,Births_Native_American,Births_Non_Latino_White,Births_Other_Race,Crime Incidents
pinery-park,872,52,0,10,3,756,3098,2756,650,6866,3200,1265,2401,6951,85,51,0,8074,1810,105,3226,583,2.95,1295,956,3360,3770,4729,2809,104,136,1228,0,19054,18450,113,19403,526,2320,1043,194,6900,36,20282,455,0,8,15,0,128,0,
platte-park,887,13,0,5,0,172,604,825,210,2726,1022,819,885,2873,147,412,26,3720,356,52,611,368,2.09,120,1625,1040,830,495,742,67,29,330,0,5382,5146,19,5404,193,502,358,398,2461,15,5712,135,0,0,10,0,110,0,3406
pomona,706,75,0,10,0,362,509,704,275,2018,257,966,795,2103,85,788,41,1188,1082,209,887,201,2.26,340,597,771,710,604,594,56,263,689,23,3876,3510,70,4056,97,694,255,221,1299,25,4565,191,0,0,8,0,42,0,
quail-crossing-park,378,281,0,13,6,477,1099,811,763,2314,706,653,955,2400,86,89,151,2374,1038,377,1138,1013,3.29,545,1113,1289,1090,1542,897,205,500,1912,0,5707,4914,192,6534,188,538,605,162,1812,40,7619,214,0,5,29,0,51,0,
ralston,261,23,0,0,0,144,402,681,176,1462,527,470,465,1487,25,0,15,1327,711,152,552,232,2.62,402,298,322,787,555,632,11,91,207,0,3648,3494,0,3701,52,703,156,61,1480,0,3855,102,0,0,0,0,29,0,
red-hawk-and-solitude-colorado,1221,161,0,19,4,729,3734,2819,1212,8015,3293,1776,2946,8214,199,776,66,9718,1573,370,2881,326,2.89,1724,2772,4004,3551,5063,2104,434,437,2520,111,20710,19278,497,21065,686,2111,1901,499,7389,40,23230,450,4,11,35,0,256,0,
regis,521,42,0,10,0,178,352,483,167,1636,200,814,622,1666,30,191,42,1279,607,214,643,578,2.25,959,702,554,541,590,521,46,55,1324,20,3078,2894,175,4002,104,425,110,246,1460,29,4402,89,0,0,12,0,46,0,2709
riverdale-park-and-south-thornton,2910,1907,30,139,72,3271,5158,3142,5836,12191,1242,5286,5663,12667,476,3566,596,6815,7187,3358,5730,3064,3.04,3550,7385,5361,4673,7670,3283,608,1655,15633,512,21481,18259,1572,31252,1515,2388,2804,2291,8059,251,37114,849,13,35,253,9,253,16,
rocky-mountain-arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
rocky-mountain-national-park-and-northwest-boulder,178,0,0,0,0,9,42,200,12,470,70,218,182,1438,968,4,11,463,129,0,146,28,1.82,61,61,94,110,51,204,2,13,18,0,848,836,0,846,5,269,16,9,1400,0,866,55,0,0,0,0,0,0,
roosevelt-park-and-sunset-park,858,0,0,11,4,212,507,564,171,2145,377,1197,571,2374,229,595,48,1843,626,145,887,344,2.13,282,616,485,723,649,739,87,33,448,70,4140,3874,9,4276,113,938,156,523,1758,13,4588,122,0,0,8,0,31,0,
rosedale,477,42,0,6,0,108,224,332,148,1274,262,521,491,1387,113,384,0,1599,193,56,299,214,1.98,102,899,434,164,206,352,49,112,220,0,2340,2151,52,2312,35,298,105,204,1003,10,2560,88,0,0,4,0,30,0,1738
rough-ready-park-and-stephen-day-park,678,162,6,22,5,595,1589,1485,977,3939,1145,1202,1592,3985,46,423,56,4277,1139,566,1621,588,3.01,1047,1177,1752,1977,2518,1404,288,435,1688,88,10150,8750,259,10168,600,1293,670,367,3562,34,11838,517,0,7,23,0,81,0,
ruby-hill,993,2049,15,43,24,1073,1363,925,4137,3485,209,2515,761,3662,177,987,382,1039,2080,2995,864,2087,3.23,1107,1666,1706,1123,2380,1320,424,858,7493,14,3763,2352,2163,7489,308,1163,791,931,2675,77,11256,280,3,5,93,0,39,6,6263
russellville,78,0,0,0,0,40,232,600,95,950,489,190,271,1015,65,0,13,1188,319,93,388,140,2.8,192,192,228,525,395,536,0,18,174,0,2490,2434,9,2599,38,507,89,49,1000,14,2664,51,0,0,0,0,11,0,
s-federal-blvd-and-w-belleview-ave,978,78,0,6,0,243,210,341,254,1665,97,995,573,1809,144,1400,15,1136,417,125,462,216,1.64,267,555,217,364,141,337,8,150,364,0,2361,2196,20,2508,39,667,177,397,409,7,2725,105,0,0,6,0,13,0,
scenic-heights,299,0,0,0,0,164,343,609,175,1367,449,498,420,1484,117,134,11,1125,662,166,630,354,2.48,252,415,350,619,412,493,10,64,303,31,3117,2904,25,3126,164,706,173,58,1316,0,3420,64,0,3,0,0,32,0,
shadow-mountain,161,9,0,0,0,40,414,785,153,1498,629,369,500,1622,124,0,0,1879,404,61,640,331,2.79,327,425,510,724,686,851,25,49,461,56,3721,3514,13,3933,106,474,185,73,1617,0,4182,190,0,0,3,0,26,0,
sierra-vista,223,10,0,0,0,70,255,451,95,968,212,315,441,1011,43,128,4,882,374,68,504,68,2.51,127,133,297,274,419,425,1,43,112,7,2325,2266,0,2371,15,699,63,89,880,8,2437,35,0,0,5,0,18,0,
skiline-arvada-plaza-and-terrace-park,1916,237,3,32,11,754,1286,1324,969,4970,537,2587,1846,5236,266,2253,103,3272,2012,683,1995,1454,2.19,1143,1721,1566,1940,1420,1217,29,101,2527,268,8608,8310,494,9990,253,1518,610,1059,2966,165,11135,275,3,4,29,0,92,0,
skyland,486,74,0,6,0,230,297,411,175,1388,282,615,491,1492,104,203,0,1374,510,208,376,370,2.26,243,824,417,300,289,471,1305,0,473,0,2663,1253,155,1569,107,456,136,188,1289,43,3136,59,5,0,12,0,36,0,2125
sloans-lake,1495,166,0,20,3,533,765,1078,482,3766,985,1798,983,3925,159,1192,23,3727,961,678,786,1573,2.09,370,1729,1313,1262,936,760,646,150,2205,50,5706,4710,292,6372,401,1088,453,737,2716,126,7911,275,0,0,26,0,97,0,4100
south-commerce-city,1594,2158,38,125,95,2457,2572,1713,4145,6171,221,4419,1531,6658,487,1640,815,1640,4503,4422,1575,5539,3.29,2079,3116,2476,1972,4863,2463,903,55,13250,289,7406,6239,1572,17443,394,2113,1574,1615,4669,269,20656,923,20,0,261,4,71,14,
south-lakewood,6570,883,8,118,22,3103,5024,7517,4096,20782,2900,9752,8130,21392,610,7195,352,15350,9087,2414,8483,3862,2.34,4115,7659,6296,6614,6898,6542,656,1691,10656,592,38128,34565,1111,43350,1384,8223,2437,3151,14139,293,48784,1260,8,28,121,5,307,12,
south-littleton,1049,0,0,7,3,177,506,1218,226,2920,891,1015,1014,3028,108,615,0,3069,871,123,932,295,2.09,335,449,612,929,698,1322,35,126,298,31,5919,5675,108,5881,36,1683,189,265,2102,0,6217,104,0,3,4,0,36,0,
south-marston-lake,1251,68,3,7,0,507,1820,2625,987,5951,2060,1664,2227,6152,201,1082,48,6937,1513,240,2201,574,2.61,1130,1459,1806,2584,2748,2448,127,905,1249,47,14334,13059,211,13926,367,2594,814,669,5064,38,15583,309,0,8,11,0,104,3,
south-park-hill,974,188,0,12,0,390,1099,1272,946,3684,1413,1097,1174,3783,99,601,13,4865,365,355,953,749,2.37,873,1217,1397,1072,1155,1416,768,179,935,65,8349,7179,41,8021,210,1436,718,310,3182,39,9284,247,8,4,14,0,96,0,4080
south-standley-lake,376,12,3,6,0,210,699,792,171,1906,627,535,744,1928,22,74,0,2092,495,73,887,253,2.71,309,316,778,938,1060,840,0,96,446,6,4715,4591,7,5030,22,675,245,79,1854,8,5161,93,0,0,0,0,42,0,
south-westminster,3039,1642,33,150,63,2451,3584,2840,4186,10229,676,6016,3537,10749,520,3581,392,4618,5636,3825,4279,3840,2.73,2831,4964,3628,3452,5015,2802,481,1620,10529,546,17630,14807,1740,22445,1327,3512,1955,2472,7084,304,28159,1438,7,16,212,12,180,9,
southeast-aurora,419,102,3,16,4,478,1811,896,1110,3175,1103,807,1265,3207,32,199,13,3423,1058,268,1621,421,3.27,1122,1843,1902,1064,2555,1061,1235,567,1664,13,9439,7119,286,8134,868,500,1056,299,3003,17,11103,169,18,13,31,0,126,4,
southeast-boulder,3294,165,4,17,5,323,1310,1573,2170,8473,1406,5011,2056,8903,430,5434,53,7174,1073,390,1409,4573,2.07,7763,2705,1863,1455,1462,1336,263,1208,1970,121,17967,15720,423,17185,737,2687,666,3598,3453,19,19937,751,0,6,13,0,72,0,
southeast-broomfield,1372,165,4,19,7,543,1818,1376,1023,4791,973,1768,2050,4855,64,1209,37,4320,1671,500,1658,931,2.52,1036,1552,1990,1945,2343,1380,44,687,1598,22,10656,9714,173,10949,379,1282,726,638,3316,44,12254,278,0,13,26,0,103,0,
southeast-centennial,104,10,0,0,0,18,247,374,180,746,428,151,167,746,0,5,6,1053,178,29,226,34,2.84,138,104,201,421,362,449,18,129,118,15,2004,1789,5,1897,58,311,136,0,741,0,2122,27,0,0,0,0,6,0,
southeast-lafayette-and-rock-creek-farm-park,1310,490,8,30,17,600,1133,1459,1607,4147,523,2554,1070,4296,149,1156,31,3100,1626,685,1113,1328,2.3,1053,1531,1560,1344,1514,953,24,398,2658,104,6887,6178,464,8199,356,1136,454,933,2500,103,9545,283,0,0,58,0,64,6,
southeast-lafayette,1769,189,0,24,0,700,1939,2355,1110,6550,2049,2131,2370,6710,160,1141,91,7934,1438,332,1930,933,2.47,1082,1997,2271,2266,2607,2829,72,946,1398,24,14874,13335,426,14231,573,2271,949,752,5536,19,16272,454,0,9,17,0,155,0,
southmoor-park,1432,66,0,11,0,145,378,613,606,2884,515,1224,1145,3156,272,2342,18,2827,249,51,796,384,1.77,614,1499,762,481,333,525,263,174,149,5,4950,4426,26,4549,82,656,229,770,812,0,5099,114,4,4,6,0,37,0,2380
southwest-broomfield,1061,6,0,8,0,247,208,519,427,2289,251,1023,1015,2537,248,2471,88,1869,390,95,568,366,1.73,831,1616,424,225,222,238,106,263,565,52,3533,3060,142,3455,80,419,123,1045,66,17,4098,76,0,5,9,0,42,0,
southwest-littleton,194,14,0,0,0,59,292,425,154,927,430,227,270,939,12,247,8,1243,187,54,227,73,2.53,104,149,258,353,436,556,26,57,81,0,2264,2172,49,2204,9,395,94,103,692,5,2345,63,0,4,0,0,28,0,
southwest-longmont,694,149,4,14,5,865,1312,781,1023,2972,940,1117,915,3062,90,1301,53,3278,456,204,801,700,2.73,909,794,1423,1124,2002,853,53,650,1007,8,7115,6322,310,7022,79,545,472,732,1761,82,8122,374,0,3,22,0,52,0,
southwest-standley-lake,402,0,0,5,0,114,413,572,90,1468,514,388,566,1468,0,151,49,1480,539,56,709,174,2.56,262,258,424,718,560,671,33,27,351,11,3412,3333,25,3660,7,713,157,10,1317,0,3763,165,0,0,4,0,33,0,
southwest-thornton,2054,2252,38,153,96,3788,4011,2284,5614,9219,394,5820,3005,9911,692,3744,602,3004,5518,4540,3478,5316,3.07,3343,4821,3665,3326,5834,2383,625,490,17118,389,11271,9641,1688,24203,994,2345,2672,2477,5776,565,28389,1077,19,10,304,10,130,25,
speer,4564,106,0,14,3,378,529,834,684,7367,1062,4090,2215,8045,678,6177,119,7321,687,245,1743,1480,1.58,880,4434,2073,1136,530,1322,264,387,1091,21,10606,9632,241,10491,293,1031,291,2188,1868,36,11697,490,3,0,26,0,79,3,8011
standley-hill,298,182,3,14,5,413,858,932,908,2166,815,840,511,2234,68,263,122,2163,821,355,601,1232,2.89,314,569,892,872,1394,967,13,93,2091,25,4166,4056,563,5546,17,640,609,360,1622,0,6257,182,0,4,22,0,21,0,
stapleton,1577,192,0,25,0,1009,3343,1048,964,6390,3233,1315,1842,6582,192,1562,102,9224,1564,851,1611,619,2.65,454,3440,5291,2362,3317,1274,1501,579,2132,134,17368,14121,175,15998,1113,883,2479,717,5020,55,19500,274,15,16,41,0,271,7,20941
sterne-park-and-slaughterhouse-gulch-park,361,21,3,8,0,341,429,506,204,1483,203,766,514,1566,83,398,43,1195,437,212,719,447,2.4,341,699,433,468,473,599,44,8,518,0,3041,2870,33,3325,149,364,182,278,1168,63,3559,94,0,0,9,0,37,0,
sullivan,3644,1071,11,79,46,2035,3017,1981,6677,9668,1056,5801,2811,10210,542,7610,645,8011,2514,849,3091,4577,2.32,2656,5457,3199,2367,3492,1702,6291,1962,3570,14,18999,10068,1442,12042,818,1740,1956,3526,2566,406,22569,776,123,26,91,6,144,16,
summer-valley-park,1281,384,14,61,17,1597,2630,2378,1908,6723,831,3024,2868,7049,326,1063,70,5147,3198,723,3346,1558,2.85,1984,3166,2950,2950,3871,2207,1952,1096,3895,56,15301,11103,1559,13052,1481,1141,927,1225,5967,78,19196,928,34,13,79,4,168,18,
sun-valley,122,184,4,11,8,518,275,39,345,442,0,442,0,473,31,265,90,43,124,250,97,1137,3.21,189,193,90,68,432,63,484,75,624,6,824,258,133,750,0,100,313,220,191,171,1448,93,16,0,9,0,8,0,4473
sunnyside,1242,570,8,33,28,1139,1148,1255,1140,4092,548,2341,1203,4266,174,892,54,2927,1669,1584,1123,1883,2.39,553,2330,1867,964,1431,1064,267,159,4737,466,5160,4507,1050,7746,209,1078,610,783,3363,288,9897,259,11,6,76,4,110,4,6726
todd-creek-and-east-thornton,1939,726,14,79,10,1984,6303,5107,3519,14053,3854,3714,6485,14285,232,616,239,12536,6837,1796,7065,1467,3.05,2947,5704,7811,6274,8656,4789,536,2422,8557,348,34555,30571,727,37843,1236,3656,3275,603,13642,64,43112,1087,9,43,117,4,373,7,
twin-lakes-berkely-and-west-north-washington,2415,2344,26,114,78,2168,3002,2470,5210,8837,914,5302,2621,9337,500,2367,624,4025,4830,4263,3647,4372,2.89,3021,4260,3820,3271,4316,2750,342,1145,13946,545,11746,9908,1950,20843,867,2664,1590,1692,6302,310,25692,1037,10,21,242,0,127,20,
union-station,2190,222,0,4,0,70,99,681,472,3596,1288,1414,894,4323,727,4083,46,3440,477,313,549,972,1.46,279,1806,592,917,124,884,74,320,463,9,4801,4351,18,4758,85,580,82,932,240,15,5264,199,0,4,3,0,26,0,11273
university,1662,114,0,4,0,238,740,632,937,3615,733,2017,865,3821,206,1314,14,3990,505,117,611,1254,2.04,3228,2368,917,828,650,658,258,709,688,35,8820,7622,52,8139,315,452,407,1075,2507,0,9508,399,4,3,4,0,79,0,4279
university-hillsboulder-county,660,21,0,0,0,0,135,176,314,1935,184,1502,249,2170,235,1233,30,846,151,0,110,3266,2.63,4500,271,211,259,108,183,146,114,638,0,5164,4802,74,5251,217,183,87,1267,937,0,5802,217,0,0,0,0,6,0,
university-hillsdenver-county,964,66,0,7,0,337,631,775,293,2700,563,1177,960,2813,113,436,34,2643,704,156,1042,357,2.09,233,1050,928,794,539,757,353,116,612,34,5094,4420,17,4902,284,1016,389,530,2377,22,5706,131,0,3,12,0,58,0,4276
university-park,1539,57,0,3,0,204,682,838,1079,3625,902,1893,830,4059,434,2177,28,3746,424,128,820,1337,2.07,1536,1389,1122,895,838,894,121,670,528,37,7207,6209,160,6534,213,818,243,990,1882,50,7735,223,0,7,7,0,52,0,3489
utah-park,6855,2954,25,205,101,4136,5947,6882,10761,21543,2058,11767,7718,22787,1244,9554,805,15715,9811,3211,9246,5886,2.48,4937,8652,7719,7074,7965,6998,10281,3344,11323,144,42523,26581,4289,32480,3308,7540,2961,4752,13112,482,53846,2138,216,51,259,10,269,51,
valverde,328,675,5,18,13,631,587,295,1578,1224,29,1015,180,1312,88,234,86,422,783,1015,263,1051,3.31,288,562,611,521,935,473,142,243,3268,14,779,385,109,3520,19,316,341,384,1067,52,4047,79,0,0,40,0,13,0,3643
van-aredale-and-harvest,188,60,0,0,0,85,430,743,156,1471,497,422,552,1471,0,22,0,1448,703,106,726,117,2.8,270,268,525,889,716,615,34,198,241,0,3875,3563,23,3789,72,686,147,51,1449,0,4116,66,0,0,0,0,21,0,
villa-park,849,1372,14,32,39,1180,1229,604,2760,2944,186,2201,557,3165,221,1000,345,1086,1657,2063,921,2555,3.16,888,1694,1298,1181,1818,830,315,69,6727,116,2587,2207,1370,7272,172,724,881,967,2165,248,9314,350,0,0,100,5,31,3,7042
virginia-village,2337,615,6,27,9,748,1370,1642,2176,6284,833,3726,1725,6677,393,3183,264,5522,1834,774,2127,2207,2.23,1358,3073,1967,1806,1687,1682,865,450,2576,63,11714,9950,751,11618,543,1729,988,1563,3494,121,14290,530,15,8,32,0,133,0,5699
walnut-grove-westbrook-countryside-and-crownpoint,835,52,0,15,4,558,1349,1231,503,3608,872,1098,1638,3678,70,27,0,3358,1280,238,1844,294,2.75,822,1584,1481,1651,1703,1230,74,275,1111,196,8814,8032,122,8916,342,774,680,303,3629,11,9925,287,0,0,22,0,107,0,
washington-park,1109,21,0,3,0,166,837,1164,464,3373,1527,880,966,3633,260,834,8,4789,342,92,679,460,2.18,161,1213,1327,939,780,1154,51,270,445,0,6918,6499,42,6852,148,1269,520,269,2789,37,7363,136,0,8,0,0,73,0,3295
washington-park-west,1288,12,0,5,0,237,596,905,315,3640,1309,1049,1282,3748,108,809,44,4982,432,102,780,475,2.08,323,2369,1532,896,461,778,95,152,595,8,6981,6544,73,6943,305,721,496,422,2921,57,7576,142,0,0,8,0,97,0,4689
washington-virginia-vale,2864,908,6,23,13,1166,1528,1563,2572,6662,722,4159,1781,7134,472,4611,205,5448,1623,990,2255,2569,2.07,1169,3168,1919,1696,1508,1445,2357,840,2433,380,11520,7685,828,8652,896,2088,960,2378,2523,286,13953,702,29,9,35,3,101,3,7329
wayside-meadows-park,2407,34,0,25,7,631,2308,2860,647,8047,2036,2637,3374,8314,267,1624,71,7103,2825,530,3667,942,2.45,1355,2511,2875,3019,3245,3301,355,166,1858,60,17915,16884,157,18433,602,2419,1048,437,6690,32,19773,518,4,7,37,3,169,0,
welby-and-east-north-washington,904,1030,13,63,47,1821,2006,994,2984,4317,192,2812,1313,4567,250,1139,294,1279,2875,1779,1757,2239,3.13,1574,2035,1755,1487,2573,1279,187,111,8231,339,5277,4638,744,11387,740,1134,1671,794,2616,160,13508,456,10,4,126,4,68,7,
wellshire,355,16,0,0,0,154,467,505,173,1404,624,395,385,1444,40,0,12,2014,139,46,319,123,2.42,105,297,476,425,543,554,25,58,188,0,3229,3013,7,3180,147,766,251,68,1444,0,3417,46,0,0,3,0,21,0,644
west-boulder-including-ward-and-jamestown,1039,53,0,11,0,510,1621,2316,895,5488,2684,1386,1418,6087,599,697,8,7623,867,116,1596,710,2.45,830,1335,1600,2491,1957,2465,107,238,328,69,13392,12832,37,13051,218,2311,731,335,5320,34,13720,200,0,4,8,0,80,0,
west-brighton,1022,1348,12,44,20,1264,1681,1206,2920,4045,325,2694,1026,4172,127,1184,228,1528,3121,2418,1807,2078,3,1423,2637,1915,1746,2489,1326,311,469,7937,141,5698,4805,1124,11099,491,1250,849,1002,2887,244,13635,391,0,0,102,0,67,3,
west-centennial,4582,233,3,36,5,2299,7314,9219,3742,22185,7623,6067,8495,22703,518,2597,102,27800,5062,657,7988,2417,2.6,3411,6307,7125,8382,9868,9042,686,1858,3583,315,54565,50598,910,53107,1272,10651,3362,1509,20078,155,58148,1448,8,19,49,0,430,8,
west-colfax,1579,831,12,45,24,1069,925,749,1856,3769,266,2805,698,4244,475,2556,214,1783,1446,1656,1221,3388,2.37,1061,1801,1199,975,1118,994,803,213,4348,325,4731,3439,594,6850,294,1137,794,1715,1688,266,9079,451,22,0,86,6,65,6,10161
west-erie,402,27,0,10,0,396,1841,1554,947,3933,1787,525,1621,4037,104,14,46,5547,816,124,1269,502,3.01,740,881,2016,2075,2345,1578,115,455,622,0,11225,10431,112,10947,218,1206,1006,111,4023,53,11847,148,0,15,15,0,94,0,
west-greenwood-village,936,125,0,16,4,399,899,1480,892,3523,1421,957,1145,3796,273,1506,29,4453,694,140,795,369,2.43,605,1141,1090,1257,1540,1287,82,651,725,8,7846,6976,136,7572,122,1307,344,478,2290,14,8571,233,4,4,15,0,50,0,
west-highland,1780,43,0,13,3,558,859,926,499,4331,1502,1633,1196,4584,253,1189,23,5100,812,349,1287,1012,2.12,310,2527,1843,1244,947,879,470,152,1507,38,7843,7266,27,8487,176,1055,545,616,3382,82,9350,288,0,3,11,0,133,0,4888
west-niwot,526,0,0,3,0,424,766,778,531,2100,886,751,463,2180,80,362,0,3049,296,15,447,533,2.79,514,267,354,1312,1413,1107,22,160,558,0,5308,5013,0,5571,113,767,132,94,1803,21,5866,76,0,0,0,0,33,0,
west-northglenn,459,145,3,16,5,413,430,634,499,1573,276,747,550,1630,57,475,0,996,725,358,709,699,2.48,325,627,384,401,472,504,31,253,1086,13,2814,2432,78,3414,111,872,315,286,1155,75,3900,203,4,4,14,0,29,0,
west-pike-national-forest,207,0,0,0,0,56,392,912,141,1568,676,408,484,2037,469,19,31,1774,467,107,778,81,2.56,125,300,443,836,679,849,23,59,140,87,3884,3668,50,3730,75,698,94,66,2018,0,4024,70,0,0,0,0,25,0,
west-roxborough-park,170,34,3,7,0,82,911,1288,330,2382,1004,342,1036,2466,84,18,0,3247,530,96,767,17,2.85,464,624,1094,1109,1132,1039,130,103,464,38,6319,5928,71,6321,120,774,547,34,2432,0,6783,132,0,4,10,0,53,0,
westminster-center-park,689,214,5,25,5,332,851,1070,620,2899,382,1216,1301,2981,82,665,26,2153,1253,598,1448,675,2.69,645,1298,1086,1017,1199,994,111,326,2117,102,5675,4999,166,6842,245,1057,496,440,2296,21,7792,287,0,5,34,0,55,0,
westwood,879,2497,23,70,68,2192,2507,1002,5319,4718,150,3585,983,4984,266,1297,694,1109,2863,3668,1600,5901,3.58,1577,2916,2557,1362,4377,1395,507,633,13384,317,3534,1982,1396,13587,478,1010,1724,1634,3529,474,16918,173,16,8,196,5,31,12,12985
westwoods-park,252,74,0,3,0,108,701,810,281,1851,979,219,653,1884,33,91,11,2375,443,86,649,64,2.87,314,407,794,836,1174,762,11,179,441,89,4879,4610,76,4835,130,754,279,6,1793,6,5320,109,0,4,4,0,24,0,
whisper-creek,372,51,0,8,0,258,856,638,416,1984,901,497,586,2087,103,505,0,2487,468,60,529,230,2.7,288,763,811,824,1086,589,78,446,421,25,5041,4340,63,4621,229,557,544,214,1582,7,5462,57,0,6,8,0,71,4,
whittierboulder-county,2028,138,0,10,0,70,177,664,701,4891,629,3321,941,5481,590,4422,72,3455,274,155,967,4234,2,4805,2365,684,499,243,717,276,337,1010,0,9012,8076,503,8474,432,586,123,2458,1048,27,10022,501,0,0,6,0,38,0,
whittierdenver-county,617,133,4,19,3,607,675,475,466,2180,472,919,789,2225,45,577,194,2301,507,494,779,1146,2.72,458,1831,1133,345,1050,399,1060,0,1514,24,4474,3292,176,4426,302,373,399,375,1648,83,5988,123,18,3,17,0,65,0,3189
willow-creek-park,526,32,0,4,0,284,578,584,570,1817,399,764,654,1903,86,578,42,2001,355,87,624,263,2.39,261,600,531,781,740,640,58,335,450,11,3919,3419,45,3823,97,515,301,305,1303,18,4369,127,0,5,4,0,30,0,
windsor,4400,955,4,44,25,904,1007,1638,3530,7704,359,5469,1876,8563,859,7529,344,4747,2846,1179,2224,2282,1.77,846,2317,1739,1368,1065,2021,2795,714,2921,86,10760,6988,846,8838,402,3551,774,2051,1019,163,13681,243,56,11,47,0,63,7,3811
wonderland-boulder-meadows-and-catalpa-park,1623,263,4,18,14,687,1396,1423,1362,5092,1729,1959,1404,5265,173,1419,163,6478,682,463,851,1181,2.34,793,1493,1911,1648,2154,1748,69,328,1859,26,10122,9498,242,10989,327,1674,560,636,3233,44,11981,169,0,7,44,0,66,0,
wyco-park-northeast-northglenn,293,128,4,21,8,411,852,803,566,2114,231,846,1037,2152,38,20,70,1139,1579,632,989,746,3.31,844,829,956,790,1503,840,66,63,2691,30,4311,4074,578,5991,274,924,316,167,2132,30,7002,357,0,3,33,0,37,0,
wyndam-park,390,0,0,3,0,85,474,552,129,1484,592,371,521,1587,103,157,6,1725,306,127,540,200,2.51,150,190,432,606,701,809,17,62,223,141,3549,3320,24,3422,106,661,223,44,1427,15,3772,79,0,0,0,0,30,0,
yankee-doodle-park-ralston-vally-and-apex,548,17,0,5,0,363,664,1073,248,2401,595,801,1005,2438,37,254,16,2071,1089,205,1124,139,2.61,491,696,695,977,1109,986,42,74,405,31,6004,5754,94,6052,116,1135,320,301,2184,12,6409,126,0,0,6,0,54,0,